TRACK,POSTED,LIKES,REPOSTS,PLAYS,COMMENTS
2- Ingenious Brain - New Horizon,1 year ago,86,5,"2,104",1
1- Ingenious Brain - Twisted Perception,1 year ago,89,5,"2,191",3
Dirty experiments 2.0 EP - Ingenious Brain Minimix,1 year ago,325,17,"7,012",11
THE HORRIDS 'Biohackers' Album Mix | Transubtil Records Presents | 06/01/2024,1 year ago,952,95,14.1K,61
Ingenious Brain - Dirty Experiments 1.0,1 year ago,,,,
1- Ingenious Brain - Dirty Experiments- 152 D#,1 year ago,43,3,"1,276",
2- Ingenious Brain - Oscillation- 153 F,1 year ago,44,4,"1,321",1
3- Ingenious Brain- Disturbed- 153 F#,1 year ago,65,9,"1,857",2
The Horrids - Biohackers Album,1 year ago,,,,
1 The Horrids - Brain Safari,1 year ago,178,17,"5,055",5
2 The Horrids & Hygdra's Hill,1 year ago,127,8,"3,646",4
3 The Horrids & Dr Fractal - Peter Panic,1 year ago,247,23,"4,936",14
4 The Horrids - Stephan Is A Liar,1 year ago,114,8,"3,072",7
5 The Horrids - Rocker Deluxe,1 year ago,131,13,"3,090",12
6 The Horrids - Silent Noise,1 year ago,96,7,"2,412",5
7 The Horrids - Fading Memories,1 year ago,99,8,"2,447",10
8 The Horrids - Chromatic Candy,1 year ago,144,12,"2,944",16
9 The Horrids - Cyber Infused,1 year ago,110,5,"2,505",7
10 The Horrids - Bio Hackers,1 year ago,104,6,"2,491",5
The Horrids - BioHackers Album,1 year ago,,,,
Transubtil Rec Showcase #15 - JIVE,1 year ago,155,16,"2,102",11
Transubtil Rec Showcase #14 - FIORENZA,1 year ago,177,27,"2,600",19
Rajax night dj set,1 year ago,,,,
Transubtil Preset Pack Vol 1,1 year ago,31,7,"1,352",1
Transubtil Rec Showcase #13 - RAJAX,1 year ago,238,28,"3,561",32
Transubtil Rec Showcase #12 - MEKANORMS,1 year ago,103,14,"1,219",14
Dirty experiments 1.0 EP - Ingenious Brain Minimix,1 year ago,266,20,"5,078",20
